D_LatestNetvalue,,,
Code,Tdate,Netvalue,SumNetvalue
160221,2017-11-27,1.1236,0.7712
150221,2017-11-27,1.059,1.181
150222,2017-11-27,0.407,0.407
164402,2017-11-27,0.733,0.794
502048,2017-11-27,1.4506,0.9433
502049,2017-11-27,1.028,1.128
502050,2017-11-27,1.8732,0.44
502000,2017-11-27,1.0058,0.6166
502001,2017-11-27,1.0452,1.1382
502002,2017-11-27,0.9664,0.1566
150227,2017-11-27,1.003,1.123
150228,2017-11-27,0.969,0.969
160631,2017-11-27,0.986,1.046
150219,2017-11-27,1.054,1.164
150220,2017-11-27,0.936,0.936
164401,2017-11-27,0.995,1.05
160632,2017-11-27,1.248,1.287
150229,2017-11-27,1.045,1.122
150230,2017-11-27,1.451,1.451
150241,2017-11-27,1.043,1.122
150242,2017-11-27,1.153,1.153
161029,2017-11-27,1.098,1.138
150235,2017-11-27,1.003,1.12
150236,2017-11-27,0.833,0.179
160633,2017-11-27,0.918,0.6
150275,2017-11-27,1.043,1.119
150276,2017-11-27,0.553,0.148
167503,2017-11-27,0.798,0.469
150265,2017-11-27,1.052,1.144
150266,2017-11-27,1.374,0.1
168201,2017-11-27,1.213,0.514
150273,2017-11-27,1.011,1.121
150274,2017-11-27,0.633,0.174
160638,2017-11-27,0.822,0.56
150251,2017-11-27,1.043,1.118
150252,2017-11-27,1.279,0.413
161724,2017-11-27,1.161,0.795
150225,2017-11-27,1.0495,1.1351
150226,2017-11-27,1.5485,0.3763
160516,2017-11-27,1.299,0.8399
150249,2017-11-27,1.043,1.118
150250,2017-11-27,1.095,1.095
161723,2017-11-27,1.069,1.107
150231,2017-11-27,1.0242,1.1232
150232,2017-11-27,1.3658,0.3381
163116,2017-11-27,1.195,0.7906
150247,2017-11-27,1.0325,1.1434
150248,2017-11-27,0.5959,0.0292
164818,2017-11-27,0.8142,0.3363
150269,2017-11-27,1.008,1.117
150270,2017-11-27,1.104,2.057
161725,2017-11-27,1.056,1.587
150271,2017-11-27,1.043,1.117
150272,2017-11-27,1.135,0.299
161726,2017-11-27,1.089,0.713
150277,2017-11-27,1.011,1.119
150278,2017-11-27,0.485,0.087
160639,2017-11-27,0.748,0.473
150279,2017-11-27,1.011,1.119
150280,2017-11-27,0.811,0.13
160640,2017-11-27,0.911,0.561
502021,2017-11-27,1.002,1.129
502022,2017-11-27,1.038,0.285
502020,2017-11-27,1.02,0.917
150261,2017-11-27,1.0523,1.142
150262,2017-11-27,0.7005,0.0265
162412,2017-11-27,0.8764,0.3368
502014,2017-11-27,1.05,1.137
502015,2017-11-27,0.75,0.135
502013,2017-11-27,0.9,0.558
150233,2017-11-27,1.0163,1.1206
150234,2017-11-27,0.8445,0.04
163117,2017-11-27,0.9304,0.3707
150255,2017-11-27,1.0219,1.1194
150256,2017-11-27,0.9649,0.9649
150257,2017-11-27,1.0219,1.1194
150258,2017-11-27,1.1153,0.2873
161121,2017-11-27,0.9934,1.054
161122,2017-11-27,1.0686,0.7066
150259,2017-11-27,1.0219,1.1194
150260,2017-11-27,0.5875,0.0956
161123,2017-11-27,0.8047,0.4958
150291,2017-11-27,1.052,1.14
150292,2017-11-27,0.854,0.854
168205,2017-11-27,0.953,0.997
150295,2017-11-27,1.0495,1.1358
150296,2017-11-27,1.0145,0.3353
160136,2017-11-27,1.032,0.7194
150263,2017-11-27,1.0523,1.1396
150264,2017-11-27,0.3457,0.0544
162413,2017-11-27,0.699,0.4302
150267,2017-11-27,1.0495,1.1327
150268,2017-11-27,1.0761,1.0761
160517,2017-11-27,1.0628,1.1106
150299,2017-11-27,1.0523,1.14
150300,2017-11-27,0.8009,0.8009
160418,2017-11-27,0.9266,0.9705
150301,2017-11-27,1.0523,1.1467
150302,2017-11-27,1.0197,0.1991
160419,2017-11-27,1.036,0.6465
150293,2017-11-27,1.0544,1.1471
150294,2017-11-27,1.0112,0.1247
160135,2017-11-27,1.0328,0.6074
150315,2017-11-27,1.044,1.113
150316,2017-11-27,0.77,0.115
161031,2017-11-27,0.907,0.543
502006,2017-11-27,1.0771,0.655
502007,2017-11-27,1.0205,1.118
502008,2017-11-27,1.1337,0.1686
150237,2017-11-27,1.003,1.115
150238,2017-11-27,1.237,0.403
160634,2017-11-27,1.12,0.783
150245,2017-11-27,1.003,1.115
150246,2017-11-27,1.147,0.232
160636,2017-11-27,1.075,0.682
150281,2017-11-27,1.05,1.134
150282,2017-11-27,0.72,0.72
160814,2017-11-27,0.885,0.933
150287,2017-11-27,1.052,1.138
150288,2017-11-27,0.824,0.141
168203,2017-11-27,0.938,0.576
150321,2017-11-27,1.064,1.161
150322,2017-11-27,1.348,0.227
161032,2017-11-27,1.206,0.738
150289,2017-11-27,1.052,1.137
150290,2017-11-27,0.512,0.512
168204,2017-11-27,0.782,0.824
150243,2017-11-27,1.045,1.115
150244,2017-11-27,0.547,0.13
160637,2017-11-27,0.796,0.519
150307,2017-11-27,1.023,1.112
150308,2017-11-27,0.779,0.162
161030,2017-11-27,0.901,0.588
150283,2017-11-27,1.0197,1.1173
150284,2017-11-27,0.8219,0.8219
163118,2017-11-27,0.9208,0.9749
502037,2017-11-27,1.0523,1.1354
502038,2017-11-27,0.9186,0.2677
502036,2017-11-27,0.9854,0.6694
150317,2017-11-27,1.049,1.137
150318,2017-11-27,0.877,0.23
164907,2017-11-27,0.963,0.637
150305,2017-11-27,1.043,1.117
150306,2017-11-27,0.533,0.533
168001,2017-11-27,0.788,0.822
150297,2017-11-27,1.0544,1.1399
150298,2017-11-27,0.623,0.623
160137,2017-11-27,0.8387,0.8849
150335,2017-11-27,1.052,1.141
150336,2017-11-27,0.26,0.26
161628,2017-11-27,0.656,0.697
150309,2017-11-27,1.044,1.112
150310,2017-11-27,0.624,0.15
165523,2017-11-27,0.834,0.537
150311,2017-11-27,1.044,1.112
150312,2017-11-27,0.706,0.166
165524,2017-11-27,0.875,0.56
150303,2017-11-27,1.0301,1.1463
150304,2017-11-27,0.5779,0.0261
160420,2017-11-27,0.804,0.3214
502004,2017-11-27,1.0176,1.1126
502005,2017-11-27,0.7752,0.1683
502003,2017-11-27,0.8964,0.5765
502011,2017-11-27,1.0176,1.1126
502012,2017-11-27,1.2826,0.2775
502010,2017-11-27,1.1501,0.7368
150323,2017-11-27,1.0494,1.1338
150324,2017-11-27,0.4296,0.4296
164819,2017-11-27,0.7395,0.7817
502057,2017-11-27,1.0523,1.1315
502058,2017-11-27,0.8545,0.2442
502056,2017-11-27,0.9534,0.6438
150327,2017-11-27,1.0494,1.1339
150328,2017-11-27,1.3412,0.3724
164821,2017-11-27,1.1953,0.7971
150343,2017-11-27,1.052,1.137
150344,2017-11-27,1.034,0.308
161629,2017-11-27,1.043,0.709
150325,2017-11-27,1.0494,1.1316
150326,2017-11-27,0.9041,0.179
164820,2017-11-27,0.9768,0.6159
502031,2017-11-27,1.016,1.122
502032,2017-11-27,0.922,0.204
502030,2017-11-27,0.969,0.663
150331,2017-11-27,1.0595,1.1414
150332,2017-11-27,0.3975,0.3975
165315,2017-11-27,0.7285,0.7695
150329,2017-11-27,1.043,1.109
150330,2017-11-27,1.78,1.78
167301,2017-11-27,1.411,1.453
502041,2017-11-27,1.05,1.122
502042,2017-11-27,1.382,1.382
502040,2017-11-27,1.216,1.26
502054,2017-11-27,1.05,1.122
502055,2017-11-27,0.882,0.882
